IDENT; Kiermaszy; Wystaw; Rok
1606; 2; 1; 2022
1607; 4; 3; 2022
1608; 3; 3; 2021
1608; 3; 3; 2022
1609; 5; 0; 2022
1610; 2; 3; 2021
1610; 2; 3; 2022
1611; 0; 3; 2021
1611; 2; 3; 2022
1612; 1; 0; 2022
1613; 4; 0; 2020
1613; 3; 0; 2021
1613; 3; 3; 2022
1614; 3; 1; 2022
1615; 4; 5; 2022
1616; 3; 1; 2020
1616; 4; 1; 2021
1616; 4; 3; 2022
1617; 5; 2; 2022
1618; 2; 3; 2022
1619; 5; 2; 2022
1620; 4; 0; 2021
1620; 5; 0; 2022
1621; 3; 2; 2021
1621; 3; 2; 2022
1622; 3; 0; 2021
1622; 3; 1; 2022
1623; 5; 0; 2022
1624; 4; 2; 2021
1624; 5; 3; 2022
1625; 3; 0; 2020
1625; 4; 0; 2021
1625; 4; 2; 2022
1626; 5; 0; 2021
1626; 5; 0; 2022
1627; 1; 4; 2022
1628; 4; 1; 2021
1628; 4; 2; 2022
1629; 3; 0; 2020
1629; 4; 0; 2021
1629; 4; 1; 2022
1630; 2; 4; 2022
1631; 3; 0; 2020
1631; 4; 0; 2021
1631; 4; 1; 2022
1632; 2; 3; 2021
1632; 3; 3; 2022
1633; 4; 1; 2021
1633; 4; 2; 2022
1634; 0; 2; 2021
1634; 1; 3; 2022
1635; 4; 0; 2021
1635; 4; 0; 2022
1636; 3; 0; 2021
1636; 4; 2; 2022
1637; 4; 0; 2021
1637; 5; 2; 2022
1638; 4; 2; 2021
1638; 4; 2; 2022
1640; 4; 0; 2021
1640; 5; 2; 2022
1641; 2; 1; 2020
1641; 3; 2; 2021
1641; 5; 1; 2022
1642; 3; 0; 2021
1642; 4; 2; 2022
1643; 2; 4; 2022
1644; 5; 2; 2022
1645; 3; 1; 2020
1645; 3; 1; 2021
1645; 4; 3; 2022
1646; 3; 1; 2020
1646; 3; 2; 2021
1646; 4; 2; 2022
1647; 0; 4; 2022
1648; 4; 0; 2021
1648; 5; 1; 2022
1649; 0; 3; 2022
1650; 3; 1; 2020
1650; 3; 1; 2021
1650; 5; 2; 2022
1651; 5; 0; 2022
1652; 4; 4; 2022
1653; 3; 1; 2021
1653; 3; 1; 2020
1653; 5; 1; 2021
1654; 0; 2; 2022
1655; 1; 6; 2022
1656; 3; 1; 2021
1656; 4; 1; 2022
1657; 2; 3; 2022
1658; 4; 0; 2021
1658; 4; 2; 2022
1659; 4; 2; 2021
1659; 5; 3; 2022
1660; 3; 2; 2022
1661; 3; 2; 2020
1661; 4; 2; 2021
1661; 4; 2; 2022
1662; 4; 1; 2021
1662; 5; 2; 2022
1663; 3; 1; 2020
1663; 3; 2; 2021
1663; 3; 3; 2022
1664; 3; 0; 2021
1664; 3; 2; 2022
1665; 0; 2; 2021
1665; 0; 3; 2022
1666; 4; 2; 2021
1666; 4; 2; 2022
1667; 1; 0; 2022
1668; 2; 5; 2022
1669; 2; 2; 2021
1669; 2; 3; 2022
1670; 2; 1; 2020
1670; 4; 1; 2021
1670; 4; 2; 2022
1671; 3; 3; 2021
1671; 3; 3; 2022
1672; 4; 0; 2021
1672; 5; 2; 2022
1673; 3; 0; 2020
1673; 3; 0; 2021
1673; 5; 1; 2022
1674; 3; 3; 2021
1674; 4; 3; 2022
1675; 2; 3; 2021
1675; 2; 3; 2022
1676; 3; 0; 2022
1677; 3; 2; 2021
1677; 3; 2; 2022
1678; 4; 3; 2021
1678; 4; 3; 2022
1679; 3; 4; 2022
1680; 4; 2; 2021
1680; 4; 3; 2022
1681; 4; 0; 2021
1681; 4; 2; 2022
1682; 3; 0; 2020
1682; 3; 0; 2021
1682; 4; 0; 2022
1683; 1; 4; 2022
1684; 4; 0; 2021
1684; 5; 2; 2022
1685; 3; 1; 2020
1685; 4; 1; 2021
1685; 3; 3; 2022
1686; 4; 3; 2021
1686; 5; 3; 2022
1687; 4; 0; 2021
1687; 4; 2; 2022
1688; 3; 0; 2021
1688; 3; 2; 2022
1689; 4; 1; 2020
1689; 3; 1; 2021
1689; 5; 3; 2022
1690; 2; 3; 2021
1690; 2; 3; 2022
1691; 5; 0; 2022
1692; 3; 0; 2021
1692; 3; 2; 2022
1693; 1; 4; 2022
1694; 2; 1; 2022
1695; 3; 0; 2021
1695; 4; 2; 2022
1696; 3; 1; 2021
1696; 4; 1; 2022
1697; 4; 1; 2022
1698; 3; 0; 2021
1698; 4; 2; 2022
1699; 3; 3; 2021
1699; 3; 3; 2022
1700; 1; 4; 2022
1701; 5; 0; 2022
1702; 5; 2; 2022
1703; 0; 2; 2021
1703; 0; 3; 2022
1704; 0; 3; 2021
1704; 0; 3; 2022
1705; 2; 3; 2022
1706; 3; 1; 2020
1706; 3; 1; 2021
1706; 5; 3; 2022
1707; 0; 4; 2022
1708; 2; 4; 2022
1709; 3; 3; 2021
1709; 4; 3; 2022
1710; 5; 2; 2022
1711; 5; 2; 2022
1712; 3; 3; 2021
1712; 4; 3; 2022
1713; 9; 2; 2021
1713; 0; 3; 2022
1714; 2; 1; 2020
1714; 4; 2; 2021
1714; 4; 2; 2022
1715; 1; 2; 2022
1716; 3; 1; 2021
1716; 3; 2; 2022
1717; 4; 3; 2021
1717; 4; 3; 2022
1718; 3; 0; 2022
1719; 5; 2; 2022
1720; 4; 4; 2022
1721; 0; 1; 2022
1722; 4; 2; 2021
1722; 5; 2; 2022
1723; 3; 0; 2021
1723; 4; 1; 2022
1724; 2; 3; 2022
1725; 4; 6; 2022
1726; 1; 4; 2022
1727; 3; 2; 2020
1727; 3; 2; 2021
1727; 4; 2; 2022
1728; 2; 3; 2021
1728; 3; 3; 2022
1729; 0; 1; 2022
1731; 3; 3; 2021
1731; 3; 3; 2022
1732; 4; 0; 2021
1732; 4; 3; 2022
1733; 5; 0; 2022
1734; 4; 3; 2021
1734; 4; 3; 2022
1735; 4; 0; 2021
1735; 3; 2; 2022
1736; 3; 0; 2020
1736; 3; 0; 2021
1736; 3; 0; 2022
1737; 1; 5; 2022
1738; 0; 1; 2022
1739; 3; 0; 2021
1739; 3; 0; 2022
1740; 2; 2; 2021
1740; 4; 2; 2022
1741; 0; 3; 2021
1741; 2; 3; 2022
1742; 2; 2; 2022
1743; 3; 0; 2020
1743; 3; 1; 2021
1743; 3; 2; 2022
1744; 0; 4; 2022
1745; 3; 2; 2021
1745; 4; 2; 2022
1746; 10; 5; 2022
1747; 2; 1; 2022
1748; 3; 1; 2020
1748; 4; 1; 2021
1748; 4; 2; 2022
1749; 2; 1; 2020
1749; 3; 0; 2021
1749; 5; 2; 2022
1750; 4; 4; 2022
1751; 6; 2; 2022
1752; 5; 0; 2021
1752; 5; 0; 2022
1753; 4; 1; 2022
1754; 4; 1; 2022
1755; 3; 2; 2021
1755; 3; 2; 2022
1756; 3; 3; 2021
1756; 4; 2; 2022
1757; 2; 1; 2020
1757; 3; 1; 2021
1757; 5; 3; 2022
1758; 0; 4; 2022
1759; 3; 0; 2021
1759; 4; 2; 2022
1760; 3; 0; 2021
1760; 3; 1; 2022
1761; 1; 0; 2022
1762; 5; 3; 2022
1763; 2; 4; 2022
1764; 4; 2; 2021
1764; 4; 2; 2022
1765; 3; 0; 2020
1765; 3; 0; 2021
1765; 3; 2; 2022
1766; 2; 2; 2020
1766; 4; 2; 2021
1766; 4; 2; 2022
1767; 3; 0; 2020
1767; 3; 0; 2021
1767; 4; 1; 2022
1768; 5; 3; 2022
1769; 0; 2; 2021
1769; 1; 3; 2022
1770; 2; 2; 2021
1770; 3; 2; 2022
1771; 0; 3; 2021
1771; 1; 3; 2022
1772; 3; 0; 2021
1772; 3; 1; 2022
1773; 2; 2; 2021
1773; 3; 2; 2022
1774; 5; 2; 2022
1775; 2; 0; 2021
1775; 5; 2; 2022
1776; 5; 6; 2022
1777; 3; 0; 2021
1777; 5; 0; 2022
1778; 0; 1; 2022
1779; 1; 1; 2022
1780; 2; 4; 2022
1781; 3; 5; 2022
1782; 2; 2; 2020
1782; 3; 2; 2021
1782; 3; 2; 2022
1783; 3; 4; 2022
1784; 4; 0; 2021
1784; 4; 0; 2022
1785; 1; 0; 2022
1786; 3; 0; 2020
1786; 3; 1; 2021
1786; 3; 3; 2022
1787; 4; 0; 2021
1787; 5; 2; 2022
1788; 2; 1; 2020
1788; 3; 1; 2021
1788; 5; 3; 2022
1789; 0; 4; 2022
1790; 2; 1; 2020
1790; 3; 1; 2021
1790; 5; 3; 2022
1791; 4; 2; 2022
1792; 2; 3; 2021
1792; 3; 3; 2022
1793; 5; 2; 2021
1793; 5; 2; 2022
1794; 2; 5; 2022
1795; 3; 3; 2021
1795; 3; 3; 2022
1796; 5; 2; 2021
1796; 5; 4; 2022
1797; 3; 2; 2021
1797; 3; 3; 2022
1798; 3; 0; 2020
1798; 3; 0; 2021
1798; 5; 0; 2022
1799; 1; 3; 2022
1800; 2; 3; 2021
1800; 2; 3; 2022
1801; 3; 2; 2022
1802; 3; 2; 2021
1802; 6; 3; 2022
1803; 0; 1; 2022
1804; 2; 0; 2021
1804; 4; 2; 2022
1805; 4; 6; 2022
1806; 5; 0; 2021
1806; 6; 0; 2022
1807; 4; 1; 2021
1807; 5; 2; 2022
1808; 4; 3; 2021
1808; 4; 3; 2022
1809; 3; 2; 2020
1809; 3; 2; 2021
1809; 3; 2; 2022
1810; 4; 2; 2021
1810; 5; 4; 2022
1811; 3; 0; 2021
1811; 4; 2; 2022
1812; 2; 3; 2022
1813; 5; 4; 2022
1814; 4; 2; 2021
1814; 4; 2; 2022
1815; 3; 0; 2021
1815; 6; 1; 2022
1816; 3; 0; 2022
1817; 4; 1; 2021
1817; 5; 2; 2022
1818; 0; 6; 2022
1819; 3; 2; 2020
1819; 3; 2; 2021
1819; 5; 2; 2022
1820; 3; 2; 2022
1821; 2; 2; 2020
1821; 3; 2; 2021
1821; 5; 2; 2022
1822; 0; 6; 2022
1823; 1; 4; 2022
1824; 3; 2; 2022
1825; 3; 0; 2020
1825; 4; 0; 2021
1825; 4; 1; 2022
1826; 4; 2; 2020
1826; 3; 2; 2021
1826; 5; 2; 2022
1827; 4; 0; 2021
1827; 4; 2; 2022
1828; 4; 1; 2021
1828; 4; 2; 2022
1829; 5; 3; 2022
1830; 3; 0; 2021
1830; 4; 0; 2022
1831; 3; 6; 2022
1832; 5; 0; 2021
1832; 5; 2; 2022
1833; 2; 2; 2022
1834; 0; 3; 2022
1835; 5; 2; 2021
1835; 5; 2; 2022
1836; 2; 1; 2020
1836; 4; 0; 2021
1836; 5; 2; 2022
1837; 3; 2; 2022
1838; 5; 2; 2021
1838; 5; 4; 2022
1839; 2; 2; 2020
1839; 3; 2; 2021
1839; 5; 2; 2022
1840; 1; 1; 2022
1841; 6; 1; 2022
1842; 3; 2; 2022
1844; 0; 2; 2022
1845; 2; 0; 2022
1846; 3; 3; 2022
1847; 0; 3; 2021
1847; 0; 3; 2022
1848; 0; 2; 2021
1848; 2; 4; 2022
1849; 5; 1; 2022
1850; 3; 0; 2021
1850; 5; 1; 2022
1851; 3; 0; 2020
1851; 3; 1; 2021
1851; 3; 2; 2022
1852; 0; 4; 2022
1853; 0; 4; 2022
1855; 0; 3; 2021
1855; 0; 3; 2022
1856; 3; 0; 2021
1856; 4; 2; 2022
1857; 0; 4; 2022
1858; 3; 3; 2021
1858; 4; 3; 2022
1859; 3; 1; 2020
1859; 4; 2; 2021
1859; 4; 2; 2022
1860; 4; 3; 2021
1860; 4; 3; 2022
1861; 0; 1; 2022
1862; 5; 0; 2021
1862; 5; 0; 2022
1863; 3; 3; 2022
1864; 2; 1; 2020
1864; 3; 1; 2021
1864; 5; 1; 2022
1865; 4; 0; 2022
1866; 2; 3; 2021
1866; 3; 3; 2022
1867; 4; 0; 2022
1868; 3; 4; 2022
1869; 4; 2; 2021
1869; 4; 3; 2022
1870; 3; 0; 2021
1870; 3; 1; 2022
1871; 3; 0; 2022
1872; 3; 2; 2021
1872; 3; 3; 2022
1873; 3; 3; 2021
1873; 4; 3; 2022
1874; 3; 1; 2020
1874; 3; 1; 2021
1874; 5; 3; 2022
1875; 3; 0; 2020
1875; 3; 0; 2021
1875; 5; 1; 2022
1876; 3; 5; 2022
1877; 0; 3; 2022
1878; 5; 4; 2022
1879; 3; 0; 2021
1879; 4; 2; 2022
1880; 3; 0; 2021
1880; 3; 2; 2022
1881; 5; 0; 2021
1881; 5; 0; 2022
1882; 3; 1; 2020
1882; 3; 1; 2021
1882; 4; 2; 2022
1883; 1; 6; 2022
1884; 3; 5; 2022
1885; 5; 0; 2022
1886; 3; 1; 2021
1886; 3; 2; 2022
1887; 0; 4; 2022
1888; 5; 0; 2021
1888; 5; 0; 2022
1889; 1; 1; 2022
1890; 6; 3; 2022
1891; 4; 2; 2022
1892; 4; 2; 2021
1892; 4; 2; 2022
1893; 4; 0; 2021
1893; 5; 1; 2022
1894; 1; 5; 2022
1895; 2; 3; 2022
1896; 4; 2; 2021
1896; 4; 2; 2022
1897; 4; 0; 2021
1897; 4; 0; 2022
1898; 2; 3; 2022
1899; 3; 2; 2021
1899; 3; 3; 2022
1900; 4; 0; 2021
1900; 5; 0; 2022
1901; 4; 0; 2021
1901; 5; 2; 2022
1902; 3; 0; 2020
1902; 2; 0; 2021
1902; 5; 1; 2022
1903; 4; 2; 2022
1904; 1; 5; 2022
1905; 3; 2; 2021
1905; 3; 2; 2022
1906; 5; 3; 2022
1907; 4; 0; 2021
1907; 4; 0; 2022
1908; 3; 5; 2022
1909; 0; 2; 2022
1910; 5; 0; 2021
1910; 5; 1; 2022
1911; 2; 0; 2022
1913; 3; 6; 2022
